# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.857251714503429,1.0592909757248095,-0.08770929733211284,0,3.0,-1.0334892254444126,180.0,0.0,0.0010076698622432218
 0.040808238223006596,1.8597496800368614,1.0592871517961588,-0.08770929733211284,0.1224247146690198,3.0000000000000004,-1.0334892254444126,-179.9999588787682,-8.516750155162148,0.00681981050270031
 0.058896307051844995,1.8624548499709728,1.0592757372016182,-0.2417608603367059,0.17668892115553497,2.9999999999999987,-0.8114899652511723,-179.99983552156644,-8.910045090348849,0.014028062522406116
 0.07355076784622498,1.8653661991969306,1.0592568177283044,-0.372332766789381,0.22065230353867493,3.0,-0.6478688528730447,-179.99962994787418,-8.61990462742908,0.022170452840154627
 0.0865301022032148,1.8684827026059028,1.0592304791633347,-0.4842133910741468,0.2595903066096444,2.999999999999999,-0.524661263371049,-179.99934219015393,-8.086543161143206,0.030914306808497074
 0.0984953165702769,1.8718033350890564,1.0591968072938258,-0.5809706134857252,0.29548594971083064,2.9999999999999987,-0.430146105188179,-179.99897229384595,-7.4774722027864575,0.04006846069667755
 0.10977542259263501,1.875327071537559,1.0591558879068954,-0.665317292712392,0.32932626777790497,2.9999999999999987,-0.35645420154260427,-179.99852031736114,-6.864912247674031,0.0495135319895903
 0.12056005596156873,1.879052886842578,1.0591078067896598,-0.7393528544134592,0.36168016788470614,3.0000000000000013,-0.2981689179808751,-179.99798633207183,-6.280564872684899,0.05917079212457217
 0.13096907279615944,1.8829797558952808,1.0590526497292363,-0.8047273599039754,0.39290721838847825,2.9999999999999987,-0.2514789062402188,-179.9973704223005,-5.737333462535054,0.06898623753500714
 0.14108322047196567,1.8871066535868348,1.0589905025127417,-0.8627555978093996,0.423249661415897,3.0000000000000027,-0.21364949815529158,-179.99667268530646,-5.239057578806352,0.07892166960622234
 0.15095951984480133,1.8914325548084079,1.0589214509272937,-0.9144980988892146,0.4528785595344039,2.9999999999999973,-0.182684019813104,-179.99589323127043,-4.78519373840966,0.08894937506760739
 0.16063972268506346,1.8959564344511675,1.0588455807600086,-0.9608197449069724,0.48191916805519036,3.0000000000000027,-0.15710158409603683,-179.99503218327726,-4.373161992167899,0.09904880197797646
 0.17015529442367536,1.9006772674062804,1.0587629777980037,-1.002432881568017,0.510465883271026,3.0,-0.13578816686535855,-179.99408967729642,-3.999547623307334,0.10920440571513475
 0.17953051265938685,1.905594028564915,1.058673727828396,-1.0399295133806445,0.5385915379781606,3.000000000000009,-0.11789485466708222,-179.99306586216053,-3.660717857777354,0.11940421172896994
 0.1887844795232036,1.9107056928182382,1.0585779166383023,-1.0738056751342984,0.5663534385696108,3.0,-0.10276711131303556,-179.9919608995418,-3.3531315492777383,0.12963883290668282
 0.1979324762187204,1.9160112350574177,1.05847563001484,-1.1044801114667242,0.5937974286561613,3.0,-0.08989480264407101,-179.99077496392675,-3.0734852562351316,0.1399007840186849
 0.20698690252046292,1.9215096301736205,1.0583669537451257,-1.1323087572087975,0.6209607075613889,3.000000000000006,-0.07887638559144765,-179.9895082425883,-2.81877185222166,0.15018399467330576
 0.21595794523906092,1.927199853058015,1.0582519736162768,-1.1575960799090597,0.6478738357171829,3.000000000000006,-0.06939289376573357,-179.98816093555644,-2.586292946562486,0.16048345819008095
 0.22485406441533237,1.9330808786017675,1.0581307754154101,-1.1806040501864297,0.6745621932459973,3.000000000000003,-0.061188801573995685,-179.98673325558656,-2.3736477206357627,0.17079497488421852
 0.23368235378211819,1.9391516816960463,1.0580034449296427,-1.2015592991190138,0.7010470613463547,3.0,-0.054057796851209275,-179.9852254281259,-2.1787106532162817,0.18111496218749037
 0.2424488125488327,1.9454112372320185,1.0578700679460915,-1.2206588762250359,0.7273464376464982,2.999999999999994,-0.047832082641314194,-179.98363769127783,-1.9996049474799673,0.19144031266442801
 0.2511585534080925,1.9518585201008518,1.057730730251874,-1.2380749171384804,0.7534756602242777,3.000000000000003,-0.04237424987809348,-179.9819702957645,-1.8346753247900298,0.20176828689432152
 0.2598159638686897,1.9584925051937137,1.0575855176341065,-1.2539584544871172,0.7794478916060693,3.0,-0.03757106097796899,-179.98022350488694,-1.682462052969256,0.21209643185535182
 0.2684248328973251,1.9653121674017713,1.0574345158799063,-1.2684425499467784,0.8052744986919755,3.0000000000000067,-0.033328636091583215,-179.97839759448365,-1.5416771042709068,0.22242251838111599
 0.27698845141226197,1.9723164816161922,1.0572778107763905,-1.281644884540967,0.8309653542367862,3.0000000000000067,-0.029568709580778813,-179.9764928528871,-1.4111827448113854,0.23274449282294504
 0.2855096928172586,1.9795044227281442,1.0571154881106763,-1.2936699133760705,0.856529078451776,2.9999999999999933,-0.026225684238224554,-179.97450958087808,-1.2899725939090678,0.24306043947775702
 0.29399107812323094,1.9868749656287943,1.0569476336698804,-1.304610667979158,0.881973234369693,2.9999999999999933,-0.023244309225960148,-179.97244809163823,-1.1771550042394505,0.25336855125084007
 0.3024348290432744,1.9944270852093102,1.05677433324112,-1.3145502716292385,0.9073044871298234,3.0,-0.02057783189448644,-179.9703087107005,-1.0719385764210752,0.263667106543971
 0.3108429116119902,2.0021597563608595,1.056595672611512,-1.3235632196883786,0.9325287348359707,2.9999999999999933,-0.018186511850335874,-179.96809177589802,-0.9736195629854036,0.27395445114276795
